Officer-defined ethnicity,Date,Object of search,Gender,Age range,count
Other,2020-10-01,Controlled drugs,Male,10-17,63
Other,2020-10-01,Controlled drugs,Male,18-24,240
Other,2020-10-01,Controlled drugs,Male,25-34,147
Other,2020-10-01,Controlled drugs,Male,over 34,73
Other,2020-10-01,Evidence of offences under the Act,Male,10-17,5
Other,2020-10-01,Evidence of offences under the Act,Male,18-24,10
Other,2020-10-01,Evidence of offences under the Act,Male,25-34,12
Other,2020-10-01,Evidence of offences under the Act,Male,over 34,7
Other,2020-10-01,Firearms,Male,18-24,3
Other,2020-10-01,Firearms,Male,over 34,2
Other,2020-10-01,Fireworks,Male,10-17,37
Other,2020-10-01,Fireworks,Male,18-24,15
Other,2020-10-01,Fireworks,Male,25-34,1
Other,2020-10-01,Offensive weapons,Female,10-17,1
Other,2020-10-01,Offensive weapons,Female,25-34,2
Other,2020-10-01,Offensive weapons,Male,10-17,30
Other,2020-10-01,Offensive weapons,Male,18-24,59
Other,2020-10-01,Offensive weapons,Male,25-34,27
Other,2020-10-01,Offensive weapons,Male,over 34,12
Other,2020-10-01,Offensive weapons,Male,under 10,1
Other,2020-10-01,Stolen goods,Female,10-17,4
Other,2020-10-01,Stolen goods,Female,18-24,1
Other,2020-10-01,Stolen goods,Female,25-34,1
Other,2020-10-01,Stolen goods,Male,10-17,30
Other,2020-10-01,Stolen goods,Male,18-24,39
Other,2020-10-01,Stolen goods,Male,25-34,37
Other,2020-10-01,Stolen goods,Male,over 34,18
Other,2020-11-01,Anything to threaten or harm anyone,Male,10-17,9
Other,2020-11-01,Anything to threaten or harm anyone,Male,18-24,15
Other,2020-11-01,Anything to threaten or harm anyone,Male,25-34,4
Other,2020-11-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-11-01,Articles for use in criminal damage,Male,18-24,1
Other,2020-11-01,Articles for use in criminal damage,Male,over 34,1
Other,2020-11-01,Controlled drugs,Female,10-17,2
Other,2020-11-01,Controlled drugs,Female,18-24,11
Other,2020-11-01,Controlled drugs,Female,25-34,3
Other,2020-11-01,Controlled drugs,Female,over 34,1
Other,2020-11-01,Controlled drugs,Male,10-17,98
Other,2020-11-01,Controlled drugs,Male,18-24,326
Other,2020-11-01,Controlled drugs,Male,25-34,184
Other,2020-11-01,Controlled drugs,Male,over 34,80
Other,2020-11-01,Evidence of offences under the Act,Male,10-17,10
Other,2020-11-01,Evidence of offences under the Act,Male,18-24,13
Other,2020-11-01,Evidence of offences under the Act,Male,25-34,9
Other,2020-11-01,Evidence of offences under the Act,Male,over 34,7
Other,2020-11-01,Firearms,Male,10-17,1
Other,2020-11-01,Firearms,Male,18-24,1
Other,2020-11-01,Firearms,Male,25-34,1
Other,2020-11-01,Fireworks,Female,25-34,1
Other,2020-11-01,Fireworks,Male,10-17,9
Other,2020-11-01,Fireworks,Male,18-24,11
Other,2020-11-01,Fireworks,Male,25-34,2
Other,2020-11-01,Offensive weapons,Female,10-17,1
Other,2020-11-01,Offensive weapons,Female,25-34,1
Other,2020-11-01,Offensive weapons,Female,over 34,1
Other,2020-11-01,Offensive weapons,Male,10-17,36
Other,2020-11-01,Offensive weapons,Male,18-24,59
Other,2020-11-01,Offensive weapons,Male,25-34,17
Other,2020-11-01,Offensive weapons,Male,over 34,9
Other,2020-11-01,Stolen goods,Female,18-24,1
Other,2020-11-01,Stolen goods,Female,25-34,1
Other,2020-11-01,Stolen goods,Female,over 34,1
Other,2020-11-01,Stolen goods,Male,10-17,29
Other,2020-11-01,Stolen goods,Male,18-24,32
Other,2020-11-01,Stolen goods,Male,25-34,32
Other,2020-11-01,Stolen goods,Male,over 34,29
Other,2020-12-01,Anything to threaten or harm anyone,Male,10-17,1
Other,2020-12-01,Anything to threaten or harm anyone,Male,18-24,1
Other,2020-12-01,Articles for use in criminal damage,Male,18-24,1
Other,2020-12-01,Controlled drugs,Female,10-17,1
Other,2020-12-01,Controlled drugs,Female,18-24,8
Other,2020-12-01,Controlled drugs,Female,over 34,1
Other,2020-12-01,Controlled drugs,Male,10-17,78
Other,2020-12-01,Controlled drugs,Male,18-24,241
Other,2020-12-01,Controlled drugs,Male,25-34,149
Other,2020-12-01,Controlled drugs,Male,over 34,65
Other,2020-12-01,Controlled drugs,Other,18-24,1
Other,2020-12-01,Evidence of offences under the Act,Female,18-24,1
Other,2020-12-01,Evidence of offences under the Act,Female,over 34,1
Other,2020-12-01,Evidence of offences under the Act,Male,10-17,4
Other,2020-12-01,Evidence of offences under the Act,Male,18-24,7
Other,2020-12-01,Evidence of offences under the Act,Male,25-34,5
Other,2020-12-01,Evidence of offences under the Act,Male,over 34,7
Other,2020-12-01,Firearms,Male,18-24,1
Other,2020-12-01,Firearms,Male,25-34,1
Other,2020-12-01,Firearms,Male,over 34,1
Other,2020-12-01,Fireworks,Male,10-17,2
Other,2020-12-01,Fireworks,Male,18-24,2
Other,2020-12-01,Offensive weapons,Female,10-17,1
Other,2020-12-01,Offensive weapons,Male,10-17,29
Other,2020-12-01,Offensive weapons,Male,18-24,49
Other,2020-12-01,Offensive weapons,Male,25-34,18
Other,2020-12-01,Offensive weapons,Male,over 34,7
Other,2020-12-01,Stolen goods,Female,25-34,2
Other,2020-12-01,Stolen goods,Male,10-17,20
Other,2020-12-01,Stolen goods,Male,18-24,28
Other,2020-12-01,Stolen goods,Male,25-34,20
Other,2020-12-01,Stolen goods,Male,over 34,14
Other,2020-12-01,Stolen goods,Male,under 10,1
White,2020-01-01,Anything to threaten or harm anyone,Female,10-17,10
White,2020-01-01,Anything to threaten or harm anyone,Female,18-24,8
White,2020-01-01,Anything to threaten or harm anyone,Female,25-34,5
White,2020-01-01,Anything to threaten or harm anyone,Male,10-17,89
White,2020-01-01,Anything to threaten or harm anyone,Male,18-24,123
White,2020-01-01,Anything to threaten or harm anyone,Male,25-34,84
White,2020-01-01,Anything to threaten or harm anyone,Male,over 34,36
White,2020-01-01,Articles for use in criminal damage,Female,10-17,1
White,2020-01-01,Articles for use in criminal damage,Female,over 34,1
White,2020-01-01,Articles for use in criminal damage,Male,10-17,18
White,2020-01-01,Articles for use in criminal damage,Male,18-24,3
White,2020-01-01,Articles for use in criminal damage,Male,25-34,3
White,2020-01-01,Articles for use in criminal damage,Male,over 34,7
White,2020-01-01,Controlled drugs,Female,10-17,84
White,2020-01-01,Controlled drugs,Female,18-24,209
White,2020-01-01,Controlled drugs,Female,25-34,143
White,2020-01-01,Controlled drugs,Female,over 34,153
White,2020-01-01,Controlled drugs,Male,10-17,627
White,2020-01-01,Controlled drugs,Male,18-24,1635
White,2020-01-01,Controlled drugs,Male,25-34,1271
White,2020-01-01,Controlled drugs,Male,over 34,932
White,2020-01-01,Evidence of offences under the Act,Female,10-17,5
White,2020-01-01,Evidence of offences under the Act,Female,18-24,7
White,2020-01-01,Evidence of offences under the Act,Female,25-34,11
White,2020-01-01,Evidence of offences under the Act,Female,over 34,9
White,2020-01-01,Evidence of offences under the Act,Male,10-17,144
White,2020-01-01,Evidence of offences under the Act,Male,18-24,123
White,2020-01-01,Evidence of offences under the Act,Male,25-34,154
White,2020-01-01,Evidence of offences under the Act,Male,over 34,164
White,2020-01-01,Firearms,Female,10-17,1
White,2020-01-01,Firearms,Male,10-17,5
White,2020-01-01,Firearms,Male,18-24,3
White,2020-01-01,Firearms,Male,25-34,6
White,2020-01-01,Firearms,Male,over 34,6
White,2020-01-01,Fireworks,Male,10-17,2
White,2020-01-01,Fireworks,Male,25-34,2
White,2020-01-01,Fireworks,Male,over 34,2
White,2020-01-01,Offensive weapons,Female,10-17,27
White,2020-01-01,Offensive weapons,Female,18-24,12
White,2020-01-01,Offensive weapons,Female,25-34,18
White,2020-01-01,Offensive weapons,Female,over 34,9
White,2020-01-01,Offensive weapons,Male,10-17,413
White,2020-01-01,Offensive weapons,Male,18-24,370
White,2020-01-01,Offensive weapons,Male,25-34,204
White,2020-01-01,Offensive weapons,Male,over 34,176
White,2020-01-01,Stolen goods,Female,10-17,27
White,2020-01-01,Stolen goods,Female,18-24,43
White,2020-01-01,Stolen goods,Female,25-34,53
White,2020-01-01,Stolen goods,Female,over 34,54
White,2020-01-01,Stolen goods,Male,10-17,301
White,2020-01-01,Stolen goods,Male,18-24,281
White,2020-01-01,Stolen goods,Male,25-34,295
White,2020-01-01,Stolen goods,Male,over 34,337
White,2020-01-01,Stolen goods,Other,10-17,1
White,2020-02-01,Anything to threaten or harm anyone,Female,10-17,5
White,2020-02-01,Anything to threaten or harm anyone,Female,18-24,2
White,2020-02-01,Anything to threaten or harm anyone,Female,over 34,1
White,2020-02-01,Anything to threaten or harm anyone,Male,10-17,40
White,2020-02-01,Anything to threaten or harm anyone,Male,18-24,56
White,2020-02-01,Anything to threaten or harm anyone,Male,25-34,25
White,2020-02-01,Anything to threaten or harm anyone,Male,over 34,8
White,2020-02-01,Articles for use in criminal damage,Female,18-24,3
White,2020-02-01,Articles for use in criminal damage,Female,over 34,1
White,2020-02-01,Articles for use in criminal damage,Male,10-17,19
White,2020-02-01,Articles for use in criminal damage,Male,18-24,12
White,2020-02-01,Articles for use in criminal damage,Male,25-34,9
White,2020-02-01,Articles for use in criminal damage,Male,over 34,8
White,2020-02-01,Controlled drugs,Female,10-17,74
White,2020-02-01,Controlled drugs,Female,18-24,172
White,2020-02-01,Controlled drugs,Female,25-34,139
White,2020-02-01,Controlled drugs,Female,over 34,122
White,2020-02-01,Controlled drugs,Male,10-17,534
White,2020-02-01,Controlled drugs,Male,18-24,1441
White,2020-02-01,Controlled drugs,Male,25-34,1060
White,2020-02-01,Controlled drugs,Male,over 34,769
White,2020-02-01,Controlled drugs,Male,under 10,1
White,2020-02-01,Controlled drugs,Other,25-34,1
White,2020-02-01,Controlled drugs,Other,over 34,1
White,2020-02-01,Evidence of offences under the Act,Female,10-17,3
White,2020-02-01,Evidence of offences under the Act,Female,18-24,10
White,2020-02-01,Evidence of offences under the Act,Female,25-34,7
White,2020-02-01,Evidence of offences under the Act,Female,over 34,11
White,2020-02-01,Evidence of offences under the Act,Male,10-17,116
White,2020-02-01,Evidence of offences under the Act,Male,18-24,121
White,2020-02-01,Evidence of offences under the Act,Male,25-34,130
White,2020-02-01,Evidence of offences under the Act,Male,over 34,167
White,2020-02-01,Firearms,Female,18-24,1
White,2020-02-01,Firearms,Female,25-34,2
White,2020-02-01,Firearms,Female,over 34,2
White,2020-02-01,Firearms,Male,10-17,3
White,2020-02-01,Firearms,Male,18-24,1
White,2020-02-01,Firearms,Male,25-34,9
White,2020-02-01,Firearms,Male,over 34,8
White,2020-02-01,Fireworks,Male,10-17,2
White,2020-02-01,Fireworks,Male,18-24,2
White,2020-02-01,Fireworks,Male,25-34,2
White,2020-02-01,Offensive weapons,Female,10-17,17
White,2020-02-01,Offensive weapons,Female,18-24,14
White,2020-02-01,Offensive weapons,Female,25-34,5
White,2020-02-01,Offensive weapons,Female,over 34,14
White,2020-02-01,Offensive weapons,Male,10-17,351
White,2020-02-01,Offensive weapons,Male,18-24,242
White,2020-02-01,Offensive weapons,Male,25-34,184
White,2020-02-01,Offensive weapons,Male,over 34,149
White,2020-02-01,Stolen goods,Female,10-17,27
White,2020-02-01,Stolen goods,Female,18-24,49
White,2020-02-01,Stolen goods,Female,25-34,47
White,2020-02-01,Stolen goods,Female,over 34,60
White,2020-02-01,Stolen goods,Male,10-17,306
White,2020-02-01,Stolen goods,Male,18-24,273
White,2020-02-01,Stolen goods,Male,25-34,281
White,2020-02-01,Stolen goods,Male,over 34,313
White,2020-02-01,Stolen goods,Male,under 10,1
White,2020-02-01,Stolen goods,Other,25-34,1
White,2020-02-01,Stolen goods,Other,over 34,1
White,2020-03-01,Anything to threaten or harm anyone,Female,10-17,4
White,2020-03-01,Anything to threaten or harm anyone,Female,18-24,5
White,2020-03-01,Anything to threaten or harm anyone,Female,25-34,2
White,2020-03-01,Anything to threaten or harm anyone,Female,over 34,1
White,2020-03-01,Anything to threaten or harm anyone,Male,10-17,43
White,2020-03-01,Anything to threaten or harm anyone,Male,18-24,55
White,2020-03-01,Anything to threaten or harm anyone,Male,25-34,29
White,2020-03-01,Anything to threaten or harm anyone,Male,over 34,15
White,2020-03-01,Articles for use in criminal damage,Female,10-17,1
White,2020-03-01,Articles for use in criminal damage,Female,18-24,1
White,2020-03-01,Articles for use in criminal damage,Female,over 34,2
White,2020-03-01,Articles for use in criminal damage,Male,10-17,16
White,2020-03-01,Articles for use in criminal damage,Male,18-24,7
White,2020-03-01,Articles for use in criminal damage,Male,25-34,5
White,2020-03-01,Articles for use in criminal damage,Male,over 34,5
White,2020-03-01,Controlled drugs,Female,10-17,77
White,2020-03-01,Controlled drugs,Female,18-24,153
White,2020-03-01,Controlled drugs,Female,25-34,104
White,2020-03-01,Controlled drugs,Female,over 34,119
White,2020-03-01,Controlled drugs,Male,10-17,602
White,2020-03-01,Controlled drugs,Male,18-24,1464
White,2020-03-01,Controlled drugs,Male,25-34,984
White,2020-03-01,Controlled drugs,Male,over 34,766
White,2020-03-01,Controlled drugs,Other,18-24,1
White,2020-03-01,Evidence of offences under the Act,Female,10-17,4
White,2020-03-01,Evidence of offences under the Act,Female,18-24,3
White,2020-03-01,Evidence of offences under the Act,Female,25-34,8
White,2020-03-01,Evidence of offences under the Act,Female,over 34,6
White,2020-03-01,Evidence of offences under the Act,Male,10-17,115
White,2020-03-01,Evidence of offences under the Act,Male,18-24,130
White,2020-03-01,Evidence of offences under the Act,Male,25-34,135
White,2020-03-01,Evidence of offences under the Act,Male,over 34,177
White,2020-03-01,Evidence of offences under the Act,Other,over 34,1
White,2020-03-01,Firearms,Female,10-17,1
White,2020-03-01,Firearms,Female,over 34,1
White,2020-03-01,Firearms,Male,10-17,1
White,2020-03-01,Firearms,Male,18-24,3
White,2020-03-01,Firearms,Male,25-34,11
White,2020-03-01,Firearms,Male,over 34,7
White,2020-03-01,Fireworks,Male,25-34,1
White,2020-03-01,Offensive weapons,Female,10-17,17
White,2020-03-01,Offensive weapons,Female,18-24,10
White,2020-03-01,Offensive weapons,Female,25-34,5
White,2020-03-01,Offensive weapons,Female,over 34,14
White,2020-03-01,Offensive weapons,Male,10-17,284
White,2020-03-01,Offensive weapons,Male,18-24,262
White,2020-03-01,Offensive weapons,Male,25-34,215
White,2020-03-01,Offensive weapons,Male,over 34,122
White,2020-03-01,Stolen goods,Female,10-17,31
White,2020-03-01,Stolen goods,Female,18-24,34
White,2020-03-01,Stolen goods,Female,25-34,52
White,2020-03-01,Stolen goods,Female,over 34,68
White,2020-03-01,Stolen goods,Male,10-17,232
White,2020-03-01,Stolen goods,Male,18-24,270
White,2020-03-01,Stolen goods,Male,25-34,286
White,2020-03-01,Stolen goods,Male,over 34,333
White,2020-03-01,Stolen goods,Other,10-17,1
White,2020-03-01,Stolen goods,Other,over 34,1
White,2020-04-01,Anything to threaten or harm anyone,Female,18-24,2
White,2020-04-01,Anything to threaten or harm anyone,Female,25-34,5
White,2020-04-01,Anything to threaten or harm anyone,Male,10-17,14
White,2020-04-01,Anything to threaten or harm anyone,Male,18-24,29
White,2020-04-01,Anything to threaten or harm anyone,Male,25-34,17
White,2020-04-01,Anything to threaten or harm anyone,Male,over 34,11
White,2020-04-01,Articles for use in criminal damage,Female,10-17,2
White,2020-04-01,Articles for use in criminal damage,Female,18-24,2
White,2020-04-01,Articles for use in criminal damage,Female,25-34,1
White,2020-04-01,Articles for use in criminal damage,Male,10-17,5
White,2020-04-01,Articles for use in criminal damage,Male,18-24,7
White,2020-04-01,Articles for use in criminal damage,Male,25-34,11
White,2020-04-01,Articles for use in criminal damage,Male,over 34,13
White,2020-04-01,Controlled drugs,Female,10-17,58
White,2020-04-01,Controlled drugs,Female,18-24,213
White,2020-04-01,Controlled drugs,Female,25-34,162
White,2020-04-01,Controlled drugs,Female,over 34,195
White,2020-04-01,Controlled drugs,Male,10-17,638
White,2020-04-01,Controlled drugs,Male,18-24,2146
White,2020-04-01,Controlled drugs,Male,25-34,1745
White,2020-04-01,Controlled drugs,Male,over 34,1285
White,2020-04-01,Controlled drugs,Other,18-24,1
White,2020-04-01,Controlled drugs,Other,over 34,1
White,2020-04-01,Evidence of offences under the Act,Female,10-17,9
White,2020-04-01,Evidence of offences under the Act,Female,18-24,7
White,2020-04-01,Evidence of offences under the Act,Female,25-34,14
White,2020-04-01,Evidence of offences under the Act,Female,over 34,24
White,2020-04-01,Evidence of offences under the Act,Male,10-17,94
White,2020-04-01,Evidence of offences under the Act,Male,18-24,181
White,2020-04-01,Evidence of offences under the Act,Male,25-34,239
White,2020-04-01,Evidence of offences under the Act,Male,over 34,281
White,2020-04-01,Firearms,Female,25-34,7
White,2020-04-01,Firearms,Female,over 34,2
White,2020-04-01,Firearms,Male,10-17,1
White,2020-04-01,Firearms,Male,18-24,3
White,2020-04-01,Firearms,Male,25-34,10
White,2020-04-01,Firearms,Male,over 34,13
White,2020-04-01,Fireworks,Female,over 34,1
White,2020-04-01,Offensive weapons,Female,10-17,9
White,2020-04-01,Offensive weapons,Female,18-24,14
White,2020-04-01,Offensive weapons,Female,25-34,14
White,2020-04-01,Offensive weapons,Female,over 34,10
White,2020-04-01,Offensive weapons,Male,10-17,176
White,2020-04-01,Offensive weapons,Male,18-24,317
White,2020-04-01,Offensive weapons,Male,25-34,202
White,2020-04-01,Offensive weapons,Male,over 34,167
White,2020-04-01,Offensive weapons,Other,10-17,1
White,2020-04-01,Stolen goods,Female,10-17,16
White,2020-04-01,Stolen goods,Female,18-24,13
White,2020-04-01,Stolen goods,Female,25-34,36
White,2020-04-01,Stolen goods,Female,over 34,74
White,2020-04-01,Stolen goods,Male,10-17,163
White,2020-04-01,Stolen goods,Male,18-24,276
White,2020-04-01,Stolen goods,Male,25-34,341
White,2020-04-01,Stolen goods,Male,over 34,402
White,2020-05-01,Anything to threaten or harm anyone,Female,10-17,4
White,2020-05-01,Anything to threaten or harm anyone,Female,18-24,2
White,2020-05-01,Anything to threaten or harm anyone,Female,25-34,1
White,2020-05-01,Anything to threaten or harm anyone,Female,over 34,3
White,2020-05-01,Anything to threaten or harm anyone,Male,10-17,50
White,2020-05-01,Anything to threaten or harm anyone,Male,18-24,118
White,2020-05-01,Anything to threaten or harm anyone,Male,25-34,65
White,2020-05-01,Anything to threaten or harm anyone,Male,over 34,38
White,2020-05-01,Articles for use in criminal damage,Female,10-17,1
White,2020-05-01,Articles for use in criminal damage,Female,18-24,1
White,2020-05-01,Articles for use in criminal damage,Male,10-17,16
White,2020-05-01,Articles for use in criminal damage,Male,18-24,8
White,2020-05-01,Articles for use in criminal damage,Male,25-34,7
White,2020-05-01,Articles for use in criminal damage,Male,over 34,10
White,2020-05-01,Controlled drugs,Female,10-17,128
White,2020-05-01,Controlled drugs,Female,18-24,324
White,2020-05-01,Controlled drugs,Female,25-34,290
White,2020-05-01,Controlled drugs,Female,over 34,280
White,2020-05-01,Controlled drugs,Male,10-17,957
White,2020-05-01,Controlled drugs,Male,18-24,2971
White,2020-05-01,Controlled drugs,Male,25-34,2233
White,2020-05-01,Controlled drugs,Male,over 34,1762
White,2020-05-01,Controlled drugs,Male,under 10,1
White,2020-05-01,Evidence of offences under the Act,Female,10-17,8
White,2020-05-01,Evidence of offences under the Act,Female,18-24,5
White,2020-05-01,Evidence of offences under the Act,Female,25-34,8
White,2020-05-01,Evidence of offences under the Act,Female,over 34,17
White,2020-05-01,Evidence of offences under the Act,Male,10-17,113
White,2020-05-01,Evidence of offences under the Act,Male,18-24,197
White,2020-05-01,Evidence of offences under the Act,Male,25-34,258
White,2020-05-01,Evidence of offences under the Act,Male,over 34,280
White,2020-05-01,Evidence of offences under the Act,Other,18-24,1
White,2020-05-01,Firearms,Female,18-24,3
White,2020-05-01,Firearms,Female,25-34,1
White,2020-05-01,Firearms,Female,over 34,2
White,2020-05-01,Firearms,Male,10-17,4
White,2020-05-01,Firearms,Male,18-24,11
White,2020-05-01,Firearms,Male,25-34,10
White,2020-05-01,Firearms,Male,over 34,12
White,2020-05-01,Fireworks,Male,over 34,2
White,2020-05-01,Offensive weapons,Female,10-17,11
White,2020-05-01,Offensive weapons,Female,18-24,21
White,2020-05-01,Offensive weapons,Female,25-34,19
White,2020-05-01,Offensive weapons,Female,over 34,24
White,2020-05-01,Offensive weapons,Male,10-17,319
White,2020-05-01,Offensive weapons,Male,18-24,496
White,2020-05-01,Offensive weapons,Male,25-34,279
White,2020-05-01,Offensive weapons,Male,over 34,244
White,2020-05-01,Offensive weapons,Other,over 34,1
White,2020-05-01,Stolen goods,Female,10-17,18
White,2020-05-01,Stolen goods,Female,18-24,24
White,2020-05-01,Stolen goods,Female,25-34,44
White,2020-05-01,Stolen goods,Female,over 34,51
White,2020-05-01,Stolen goods,Male,10-17,211
White,2020-05-01,Stolen goods,Male,18-24,299
White,2020-05-01,Stolen goods,Male,25-34,377
White,2020-05-01,Stolen goods,Male,over 34,443
White,2020-06-01,Anything to threaten or harm anyone,Female,10-17,1
White,2020-06-01,Anything to threaten or harm anyone,Female,18-24,6
White,2020-06-01,Anything to threaten or harm anyone,Female,25-34,3
White,2020-06-01,Anything to threaten or harm anyone,Female,over 34,2
White,2020-06-01,Anything to threaten or harm anyone,Male,10-17,33
White,2020-06-01,Anything to threaten or harm anyone,Male,18-24,68
White,2020-06-01,Anything to threaten or harm anyone,Male,25-34,48
White,2020-06-01,Anything to threaten or harm anyone,Male,over 34,33
White,2020-06-01,Anything to threaten or harm anyone,Other,18-24,1
White,2020-06-01,Articles for use in criminal damage,Female,10-17,2
White,2020-06-01,Articles for use in criminal damage,Female,18-24,1
White,2020-06-01,Articles for use in criminal damage,Female,25-34,2
White,2020-06-01,Articles for use in criminal damage,Female,over 34,1
White,2020-06-01,Articles for use in criminal damage,Male,10-17,19
White,2020-06-01,Articles for use in criminal damage,Male,18-24,19
White,2020-06-01,Articles for use in criminal damage,Male,25-34,13
White,2020-06-01,Articles for use in criminal damage,Male,over 34,8
White,2020-06-01,Controlled drugs,Female,10-17,112
White,2020-06-01,Controlled drugs,Female,18-24,282
White,2020-06-01,Controlled drugs,Female,25-34,193
White,2020-06-01,Controlled drugs,Female,over 34,235
White,2020-06-01,Controlled drugs,Male,10-17,803
White,2020-06-01,Controlled drugs,Male,18-24,2059
White,2020-06-01,Controlled drugs,Male,25-34,1503
White,2020-06-01,Controlled drugs,Male,over 34,1250
White,2020-06-01,Controlled drugs,Other,18-24,1
White,2020-06-01,Controlled drugs,Other,25-34,2
White,2020-06-01,Evidence of offences under the Act,Female,10-17,7
White,2020-06-01,Evidence of offences under the Act,Female,18-24,7
White,2020-06-01,Evidence of offences under the Act,Female,25-34,8
White,2020-06-01,Evidence of offences under the Act,Female,over 34,13
White,2020-06-01,Evidence of offences under the Act,Male,10-17,98
White,2020-06-01,Evidence of offences under the Act,Male,18-24,136
White,2020-06-01,Evidence of offences under the Act,Male,25-34,133
White,2020-06-01,Evidence of offences under the Act,Male,over 34,220
White,2020-06-01,Firearms,Female,18-24,2
White,2020-06-01,Firearms,Female,25-34,2
White,2020-06-01,Firearms,Male,10-17,4
White,2020-06-01,Firearms,Male,18-24,8
White,2020-06-01,Firearms,Male,25-34,11
White,2020-06-01,Firearms,Male,over 34,6
White,2020-06-01,Offensive weapons,Female,10-17,20
White,2020-06-01,Offensive weapons,Female,18-24,21
White,2020-06-01,Offensive weapons,Female,25-34,13
White,2020-06-01,Offensive weapons,Female,over 34,19
White,2020-06-01,Offensive weapons,Male,10-17,302
White,2020-06-01,Offensive weapons,Male,18-24,329
White,2020-06-01,Offensive weapons,Male,25-34,206
White,2020-06-01,Offensive weapons,Male,over 34,192
White,2020-06-01,Offensive weapons,Male,under 10,1
White,2020-06-01,Offensive weapons,Other,25-34,1
White,2020-06-01,Stolen goods,Female,10-17,16
White,2020-06-01,Stolen goods,Female,18-24,23
White,2020-06-01,Stolen goods,Female,25-34,44
White,2020-06-01,Stolen goods,Female,over 34,47
White,2020-06-01,Stolen goods,Female,under 10,1
White,2020-06-01,Stolen goods,Male,10-17,187
White,2020-06-01,Stolen goods,Male,18-24,244
White,2020-06-01,Stolen goods,Male,25-34,269
White,2020-06-01,Stolen goods,Male,over 34,358
White,2020-07-01,Anything to threaten or harm anyone,Female,18-24,1
White,2020-07-01,Anything to threaten or harm anyone,Female,25-34,2
White,2020-07-01,Anything to threaten or harm anyone,Male,10-17,10
White,2020-07-01,Anything to threaten or harm anyone,Male,18-24,41
White,2020-07-01,Anything to threaten or harm anyone,Male,25-34,16
White,2020-07-01,Anything to threaten or harm anyone,Male,over 34,12
White,2020-07-01,Articles for use in criminal damage,Female,10-17,5
White,2020-07-01,Articles for use in criminal damage,Female,18-24,1
White,2020-07-01,Articles for use in criminal damage,Female,25-34,1
White,2020-07-01,Articles for use in criminal damage,Female,over 34,3
White,2020-07-01,Articles for use in criminal damage,Male,10-17,22
White,2020-07-01,Articles for use in criminal damage,Male,18-24,11
White,2020-07-01,Articles for use in criminal damage,Male,25-34,8
White,2020-07-01,Articles for use in criminal damage,Male,over 34,12
White,2020-07-01,Controlled drugs,Female,10-17,65
White,2020-07-01,Controlled drugs,Female,18-24,215
White,2020-07-01,Controlled drugs,Female,25-34,209
White,2020-07-01,Controlled drugs,Female,over 34,239
White,2020-07-01,Controlled drugs,Male,10-17,508
White,2020-07-01,Controlled drugs,Male,18-24,1600
White,2020-07-01,Controlled drugs,Male,25-34,1265
White,2020-07-01,Controlled drugs,Male,over 34,1201
White,2020-07-01,Controlled drugs,Male,under 10,1
White,2020-07-01,Controlled drugs,Other,10-17,1
White,2020-07-01,Controlled drugs,Other,over 34,2
White,2020-07-01,Evidence of offences under the Act,Female,10-17,6
White,2020-07-01,Evidence of offences under the Act,Female,18-24,9
White,2020-07-01,Evidence of offences under the Act,Female,25-34,8
White,2020-07-01,Evidence of offences under the Act,Female,over 34,13
White,2020-07-01,Evidence of offences under the Act,Male,10-17,102
White,2020-07-01,Evidence of offences under the Act,Male,18-24,115
White,2020-07-01,Evidence of offences under the Act,Male,25-34,137
White,2020-07-01,Evidence of offences under the Act,Male,over 34,189
White,2020-07-01,Evidence of offences under the Act,Other,10-17,1
White,2020-07-01,Firearms,Female,10-17,1
White,2020-07-01,Firearms,Female,25-34,2
White,2020-07-01,Firearms,Female,over 34,1
White,2020-07-01,Firearms,Male,18-24,6
White,2020-07-01,Firearms,Male,25-34,9
White,2020-07-01,Firearms,Male,over 34,8
White,2020-07-01,Fireworks,Male,10-17,9
White,2020-07-01,Offensive weapons,Female,10-17,19
White,2020-07-01,Offensive weapons,Female,18-24,24
White,2020-07-01,Offensive weapons,Female,25-34,20
White,2020-07-01,Offensive weapons,Female,over 34,17
White,2020-07-01,Offensive weapons,Male,10-17,226
White,2020-07-01,Offensive weapons,Male,18-24,250
White,2020-07-01,Offensive weapons,Male,25-34,202
White,2020-07-01,Offensive weapons,Male,over 34,181
White,2020-07-01,Offensive weapons,Other,over 34,2
White,2020-07-01,Stolen goods,Female,10-17,22
White,2020-07-01,Stolen goods,Female,18-24,40
White,2020-07-01,Stolen goods,Female,25-34,48
White,2020-07-01,Stolen goods,Female,over 34,67
White,2020-07-01,Stolen goods,Male,10-17,169
White,2020-07-01,Stolen goods,Male,18-24,222
White,2020-07-01,Stolen goods,Male,25-34,286
White,2020-07-01,Stolen goods,Male,over 34,374
White,2020-07-01,Stolen goods,Other,18-24,1
White,2020-08-01,Anything to threaten or harm anyone,Female,25-34,2
White,2020-08-01,Anything to threaten or harm anyone,Female,over 34,1
White,2020-08-01,Anything to threaten or harm anyone,Male,10-17,10
White,2020-08-01,Anything to threaten or harm anyone,Male,18-24,5
White,2020-08-01,Anything to threaten or harm anyone,Male,25-34,10
White,2020-08-01,Anything to threaten or harm anyone,Male,over 34,13
