Officer-defined ethnicity,Date,Outcome,Gender,Age range,count
Asian,2020-01-01,A no further action disposal,Female,10-17,26
Asian,2020-01-01,A no further action disposal,Female,18-24,44
Asian,2020-01-01,A no further action disposal,Female,25-34,24
Asian,2020-01-01,A no further action disposal,Female,over 34,8
Asian,2020-01-01,A no further action disposal,Male,10-17,503
Asian,2020-01-01,A no further action disposal,Male,18-24,1345
Asian,2020-01-01,A no further action disposal,Male,25-34,639
Asian,2020-01-01,A no further action disposal,Male,over 34,303
Asian,2020-01-01,A no further action disposal,Other,18-24,1
Asian,2020-01-01,Arrest,Female,10-17,2
Asian,2020-01-01,Arrest,Female,18-24,7
Asian,2020-01-01,Arrest,Female,25-34,2
Asian,2020-01-01,Arrest,Male,10-17,59
Asian,2020-01-01,Arrest,Male,18-24,155
Asian,2020-01-01,Arrest,Male,25-34,94
Asian,2020-01-01,Arrest,Male,over 34,68
Asian,2020-01-01,Caution (simple or conditional),Female,over 34,2
Asian,2020-01-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-01-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-01-01,Community resolution,Female,18-24,10
Asian,2020-01-01,Community resolution,Female,25-34,6
Asian,2020-01-01,Community resolution,Female,over 34,1
Asian,2020-01-01,Community resolution,Male,10-17,14
Asian,2020-01-01,Community resolution,Male,18-24,195
Asian,2020-01-01,Community resolution,Male,25-34,129
Asian,2020-01-01,Community resolution,Male,over 34,39
Asian,2020-01-01,Penalty Notice for Disorder,Female,18-24,1
Asian,2020-01-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-01-01,Penalty Notice for Disorder,Male,18-24,89
Asian,2020-01-01,Penalty Notice for Disorder,Male,25-34,42
Asian,2020-01-01,Penalty Notice for Disorder,Male,over 34,17
Asian,2020-01-01,Summons / charged by post,Male,10-17,6
Asian,2020-01-01,Summons / charged by post,Male,18-24,33
Asian,2020-01-01,Summons / charged by post,Male,25-34,8
Asian,2020-01-01,Summons / charged by post,Male,over 34,10
Asian,2020-02-01,A no further action disposal,Female,10-17,15
Asian,2020-02-01,A no further action disposal,Female,18-24,41
Asian,2020-02-01,A no further action disposal,Female,25-34,22
Asian,2020-02-01,A no further action disposal,Female,over 34,12
Asian,2020-02-01,A no further action disposal,Male,10-17,450
Asian,2020-02-01,A no further action disposal,Male,18-24,1086
Asian,2020-02-01,A no further action disposal,Male,25-34,518
Asian,2020-02-01,A no further action disposal,Male,over 34,224
Asian,2020-02-01,A no further action disposal,Male,under 10,1
Asian,2020-02-01,A no further action disposal,Other,10-17,1
Asian,2020-02-01,Arrest,Female,10-17,1
Asian,2020-02-01,Arrest,Female,25-34,2
Asian,2020-02-01,Arrest,Female,over 34,3
Asian,2020-02-01,Arrest,Male,10-17,52
Asian,2020-02-01,Arrest,Male,18-24,124
Asian,2020-02-01,Arrest,Male,25-34,81
Asian,2020-02-01,Arrest,Male,over 34,51
Asian,2020-02-01,Arrest,Other,18-24,1
Asian,2020-02-01,Caution (simple or conditional),Female,25-34,1
Asian,2020-02-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-02-01,Caution (simple or conditional),Male,18-24,2
Asian,2020-02-01,Community resolution,Female,10-17,1
Asian,2020-02-01,Community resolution,Female,18-24,7
Asian,2020-02-01,Community resolution,Female,25-34,5
Asian,2020-02-01,Community resolution,Female,over 34,1
Asian,2020-02-01,Community resolution,Male,10-17,10
Asian,2020-02-01,Community resolution,Male,18-24,171
Asian,2020-02-01,Community resolution,Male,25-34,96
Asian,2020-02-01,Community resolution,Male,over 34,22
Asian,2020-02-01,Penalty Notice for Disorder,Female,18-24,2
Asian,2020-02-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-02-01,Penalty Notice for Disorder,Male,18-24,53
Asian,2020-02-01,Penalty Notice for Disorder,Male,25-34,40
Asian,2020-02-01,Penalty Notice for Disorder,Male,over 34,5
Asian,2020-02-01,Summons / charged by post,Female,10-17,1
Asian,2020-02-01,Summons / charged by post,Female,25-34,1
Asian,2020-02-01,Summons / charged by post,Male,10-17,4
Asian,2020-02-01,Summons / charged by post,Male,18-24,23
Asian,2020-02-01,Summons / charged by post,Male,25-34,11
Asian,2020-02-01,Summons / charged by post,Male,over 34,4
Asian,2020-03-01,A no further action disposal,Female,10-17,11
Asian,2020-03-01,A no further action disposal,Female,18-24,41
Asian,2020-03-01,A no further action disposal,Female,25-34,13
Asian,2020-03-01,A no further action disposal,Female,over 34,7
Asian,2020-03-01,A no further action disposal,Male,10-17,411
Asian,2020-03-01,A no further action disposal,Male,18-24,1160
Asian,2020-03-01,A no further action disposal,Male,25-34,555
Asian,2020-03-01,A no further action disposal,Male,over 34,268
Asian,2020-03-01,A no further action disposal,Male,under 10,1
Asian,2020-03-01,A no further action disposal,Other,10-17,1
Asian,2020-03-01,A no further action disposal,Other,25-34,1
Asian,2020-03-01,Arrest,Female,10-17,2
Asian,2020-03-01,Arrest,Female,18-24,1
Asian,2020-03-01,Arrest,Female,25-34,2
Asian,2020-03-01,Arrest,Female,over 34,3
Asian,2020-03-01,Arrest,Male,10-17,38
Asian,2020-03-01,Arrest,Male,18-24,116
Asian,2020-03-01,Arrest,Male,25-34,91
Asian,2020-03-01,Arrest,Male,over 34,60
Asian,2020-03-01,Caution (simple or conditional),Male,25-34,3
Asian,2020-03-01,Community resolution,Female,18-24,9
Asian,2020-03-01,Community resolution,Female,25-34,3
Asian,2020-03-01,Community resolution,Male,10-17,7
Asian,2020-03-01,Community resolution,Male,18-24,168
Asian,2020-03-01,Community resolution,Male,25-34,80
Asian,2020-03-01,Community resolution,Male,over 34,22
Asian,2020-03-01,Community resolution,Other,18-24,1
Asian,2020-03-01,Penalty Notice for Disorder,Female,18-24,1
Asian,2020-03-01,Penalty Notice for Disorder,Female,25-34,1
Asian,2020-03-01,Penalty Notice for Disorder,Male,10-17,4
Asian,2020-03-01,Penalty Notice for Disorder,Male,18-24,89
Asian,2020-03-01,Penalty Notice for Disorder,Male,25-34,41
Asian,2020-03-01,Penalty Notice for Disorder,Male,over 34,7
Asian,2020-03-01,Penalty Notice for Disorder,Other,18-24,1
Asian,2020-03-01,Summons / charged by post,Female,18-24,1
Asian,2020-03-01,Summons / charged by post,Male,10-17,5
Asian,2020-03-01,Summons / charged by post,Male,18-24,17
Asian,2020-03-01,Summons / charged by post,Male,25-34,15
Asian,2020-03-01,Summons / charged by post,Male,over 34,3
Asian,2020-04-01,A no further action disposal,Female,10-17,8
Asian,2020-04-01,A no further action disposal,Female,18-24,43
Asian,2020-04-01,A no further action disposal,Female,25-34,26
Asian,2020-04-01,A no further action disposal,Female,over 34,16
Asian,2020-04-01,A no further action disposal,Male,10-17,321
Asian,2020-04-01,A no further action disposal,Male,18-24,1539
Asian,2020-04-01,A no further action disposal,Male,25-34,869
Asian,2020-04-01,A no further action disposal,Male,over 34,407
Asian,2020-04-01,A no further action disposal,Male,under 10,3
Asian,2020-04-01,Arrest,Female,18-24,3
Asian,2020-04-01,Arrest,Female,25-34,9
Asian,2020-04-01,Arrest,Male,10-17,44
Asian,2020-04-01,Arrest,Male,18-24,143
Asian,2020-04-01,Arrest,Male,25-34,115
Asian,2020-04-01,Arrest,Male,over 34,68
Asian,2020-04-01,Caution (simple or conditional),Male,10-17,2
Asian,2020-04-01,Caution (simple or conditional),Male,18-24,2
Asian,2020-04-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-04-01,Community resolution,Female,10-17,1
Asian,2020-04-01,Community resolution,Female,18-24,12
Asian,2020-04-01,Community resolution,Female,25-34,5
Asian,2020-04-01,Community resolution,Female,over 34,1
Asian,2020-04-01,Community resolution,Male,10-17,10
Asian,2020-04-01,Community resolution,Male,18-24,202
Asian,2020-04-01,Community resolution,Male,25-34,127
Asian,2020-04-01,Community resolution,Male,over 34,39
Asian,2020-04-01,Community resolution,Other,25-34,1
Asian,2020-04-01,Penalty Notice for Disorder,Female,18-24,1
Asian,2020-04-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-04-01,Penalty Notice for Disorder,Male,18-24,121
Asian,2020-04-01,Penalty Notice for Disorder,Male,25-34,66
Asian,2020-04-01,Penalty Notice for Disorder,Male,over 34,11
Asian,2020-04-01,Summons / charged by post,Male,10-17,7
Asian,2020-04-01,Summons / charged by post,Male,18-24,40
Asian,2020-04-01,Summons / charged by post,Male,25-34,33
Asian,2020-04-01,Summons / charged by post,Male,over 34,6
Asian,2020-05-01,A no further action disposal,Female,10-17,15
Asian,2020-05-01,A no further action disposal,Female,18-24,84
Asian,2020-05-01,A no further action disposal,Female,25-34,51
Asian,2020-05-01,A no further action disposal,Female,over 34,17
Asian,2020-05-01,A no further action disposal,Male,10-17,538
Asian,2020-05-01,A no further action disposal,Male,18-24,2320
Asian,2020-05-01,A no further action disposal,Male,25-34,1237
Asian,2020-05-01,A no further action disposal,Male,over 34,554
Asian,2020-05-01,A no further action disposal,Male,under 10,1
Asian,2020-05-01,A no further action disposal,Other,18-24,2
Asian,2020-05-01,A no further action disposal,Other,25-34,1
Asian,2020-05-01,Arrest,Female,10-17,1
Asian,2020-05-01,Arrest,Female,18-24,3
Asian,2020-05-01,Arrest,Female,25-34,1
Asian,2020-05-01,Arrest,Female,over 34,6
Asian,2020-05-01,Arrest,Male,10-17,49
Asian,2020-05-01,Arrest,Male,18-24,176
Asian,2020-05-01,Arrest,Male,25-34,157
Asian,2020-05-01,Arrest,Male,over 34,102
Asian,2020-05-01,Arrest,Other,18-24,1
Asian,2020-05-01,Arrest,Other,25-34,1
Asian,2020-05-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-05-01,Caution (simple or conditional),Male,18-24,2
Asian,2020-05-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-05-01,Community resolution,Female,18-24,17
Asian,2020-05-01,Community resolution,Female,25-34,12
Asian,2020-05-01,Community resolution,Male,10-17,12
Asian,2020-05-01,Community resolution,Male,18-24,235
Asian,2020-05-01,Community resolution,Male,25-34,126
Asian,2020-05-01,Community resolution,Male,over 34,34
Asian,2020-05-01,Community resolution,Other,25-34,1
Asian,2020-05-01,Penalty Notice for Disorder,Female,18-24,6
Asian,2020-05-01,Penalty Notice for Disorder,Female,25-34,4
Asian,2020-05-01,Penalty Notice for Disorder,Female,over 34,1
Asian,2020-05-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-05-01,Penalty Notice for Disorder,Male,18-24,112
Asian,2020-05-01,Penalty Notice for Disorder,Male,25-34,84
Asian,2020-05-01,Penalty Notice for Disorder,Male,over 34,17
Asian,2020-05-01,Summons / charged by post,Female,10-17,1
Asian,2020-05-01,Summons / charged by post,Female,18-24,2
Asian,2020-05-01,Summons / charged by post,Male,10-17,9
Asian,2020-05-01,Summons / charged by post,Male,18-24,50
Asian,2020-05-01,Summons / charged by post,Male,25-34,26
Asian,2020-05-01,Summons / charged by post,Male,over 34,10
Asian,2020-06-01,A no further action disposal,Female,10-17,11
Asian,2020-06-01,A no further action disposal,Female,18-24,54
Asian,2020-06-01,A no further action disposal,Female,25-34,23
Asian,2020-06-01,A no further action disposal,Female,over 34,14
Asian,2020-06-01,A no further action disposal,Male,10-17,503
Asian,2020-06-01,A no further action disposal,Male,18-24,1652
Asian,2020-06-01,A no further action disposal,Male,25-34,853
Asian,2020-06-01,A no further action disposal,Male,over 34,382
Asian,2020-06-01,Arrest,Female,18-24,5
Asian,2020-06-01,Arrest,Female,over 34,2
Asian,2020-06-01,Arrest,Male,10-17,49
Asian,2020-06-01,Arrest,Male,18-24,122
Asian,2020-06-01,Arrest,Male,25-34,86
Asian,2020-06-01,Arrest,Male,over 34,87
Asian,2020-06-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-06-01,Community resolution,Female,18-24,9
Asian,2020-06-01,Community resolution,Female,25-34,3
Asian,2020-06-01,Community resolution,Female,over 34,1
Asian,2020-06-01,Community resolution,Male,10-17,9
Asian,2020-06-01,Community resolution,Male,18-24,194
Asian,2020-06-01,Community resolution,Male,25-34,111
Asian,2020-06-01,Community resolution,Male,over 34,41
Asian,2020-06-01,Penalty Notice for Disorder,Female,18-24,2
Asian,2020-06-01,Penalty Notice for Disorder,Female,25-34,1
Asian,2020-06-01,Penalty Notice for Disorder,Female,over 34,1
Asian,2020-06-01,Penalty Notice for Disorder,Male,18-24,104
Asian,2020-06-01,Penalty Notice for Disorder,Male,25-34,50
Asian,2020-06-01,Penalty Notice for Disorder,Male,over 34,11
Asian,2020-06-01,Penalty Notice for Disorder,Male,under 10,1
Asian,2020-06-01,Summons / charged by post,Female,18-24,1
Asian,2020-06-01,Summons / charged by post,Male,10-17,4
Asian,2020-06-01,Summons / charged by post,Male,18-24,41
Asian,2020-06-01,Summons / charged by post,Male,25-34,23
Asian,2020-06-01,Summons / charged by post,Male,over 34,14
Asian,2020-06-01,Summons / charged by post,Male,under 10,1
Asian,2020-07-01,A no further action disposal,Female,10-17,5
Asian,2020-07-01,A no further action disposal,Female,18-24,44
Asian,2020-07-01,A no further action disposal,Female,25-34,18
Asian,2020-07-01,A no further action disposal,Female,over 34,13
Asian,2020-07-01,A no further action disposal,Male,10-17,373
Asian,2020-07-01,A no further action disposal,Male,18-24,1259
Asian,2020-07-01,A no further action disposal,Male,25-34,683
Asian,2020-07-01,A no further action disposal,Male,over 34,382
Asian,2020-07-01,A no further action disposal,Male,under 10,1
Asian,2020-07-01,A no further action disposal,Other,25-34,1
Asian,2020-07-01,Arrest,Female,18-24,3
Asian,2020-07-01,Arrest,Female,25-34,4
Asian,2020-07-01,Arrest,Female,over 34,4
Asian,2020-07-01,Arrest,Male,10-17,42
Asian,2020-07-01,Arrest,Male,18-24,102
Asian,2020-07-01,Arrest,Male,25-34,107
Asian,2020-07-01,Arrest,Male,over 34,76
Asian,2020-07-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-07-01,Caution (simple or conditional),Male,18-24,1
Asian,2020-07-01,Caution (simple or conditional),Male,over 34,1
Asian,2020-07-01,Community resolution,Female,10-17,2
Asian,2020-07-01,Community resolution,Female,18-24,12
Asian,2020-07-01,Community resolution,Female,25-34,11
Asian,2020-07-01,Community resolution,Female,over 34,1
Asian,2020-07-01,Community resolution,Male,10-17,10
Asian,2020-07-01,Community resolution,Male,18-24,175
Asian,2020-07-01,Community resolution,Male,25-34,118
Asian,2020-07-01,Community resolution,Male,over 34,30
Asian,2020-07-01,Penalty Notice for Disorder,Female,25-34,1
Asian,2020-07-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-07-01,Penalty Notice for Disorder,Male,18-24,74
Asian,2020-07-01,Penalty Notice for Disorder,Male,25-34,47
Asian,2020-07-01,Penalty Notice for Disorder,Male,over 34,11
Asian,2020-07-01,Summons / charged by post,Male,10-17,6
Asian,2020-07-01,Summons / charged by post,Male,18-24,21
Asian,2020-07-01,Summons / charged by post,Male,25-34,21
Asian,2020-07-01,Summons / charged by post,Male,over 34,7
Asian,2020-08-01,A no further action disposal,Female,10-17,6
Asian,2020-08-01,A no further action disposal,Female,18-24,39
Asian,2020-08-01,A no further action disposal,Female,25-34,21
Asian,2020-08-01,A no further action disposal,Female,over 34,16
Asian,2020-08-01,A no further action disposal,Male,10-17,267
Asian,2020-08-01,A no further action disposal,Male,18-24,866
Asian,2020-08-01,A no further action disposal,Male,25-34,495
Asian,2020-08-01,A no further action disposal,Male,over 34,240
Asian,2020-08-01,A no further action disposal,Male,under 10,1
Asian,2020-08-01,A no further action disposal,Other,over 34,1
Asian,2020-08-01,Arrest,Female,25-34,5
Asian,2020-08-01,Arrest,Female,over 34,1
Asian,2020-08-01,Arrest,Male,10-17,36
Asian,2020-08-01,Arrest,Male,18-24,83
Asian,2020-08-01,Arrest,Male,25-34,83
Asian,2020-08-01,Arrest,Male,over 34,67
Asian,2020-08-01,Caution (simple or conditional),Female,over 34,1
Asian,2020-08-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-08-01,Community resolution,Female,10-17,1
Asian,2020-08-01,Community resolution,Female,18-24,13
Asian,2020-08-01,Community resolution,Female,25-34,2
Asian,2020-08-01,Community resolution,Male,10-17,8
Asian,2020-08-01,Community resolution,Male,18-24,141
Asian,2020-08-01,Community resolution,Male,25-34,76
Asian,2020-08-01,Community resolution,Male,over 34,37
Asian,2020-08-01,Community resolution,Other,25-34,1
Asian,2020-08-01,Penalty Notice for Disorder,Female,25-34,1
Asian,2020-08-01,Penalty Notice for Disorder,Male,10-17,3
Asian,2020-08-01,Penalty Notice for Disorder,Male,18-24,74
Asian,2020-08-01,Penalty Notice for Disorder,Male,25-34,41
Asian,2020-08-01,Penalty Notice for Disorder,Male,over 34,9
Asian,2020-08-01,Summons / charged by post,Male,10-17,4
Asian,2020-08-01,Summons / charged by post,Male,18-24,23
Asian,2020-08-01,Summons / charged by post,Male,25-34,19
Asian,2020-08-01,Summons / charged by post,Male,over 34,7
Asian,2020-09-01,A no further action disposal,Female,10-17,5
Asian,2020-09-01,A no further action disposal,Female,18-24,33
Asian,2020-09-01,A no further action disposal,Female,25-34,12
Asian,2020-09-01,A no further action disposal,Female,over 34,12
Asian,2020-09-01,A no further action disposal,Male,10-17,256
Asian,2020-09-01,A no further action disposal,Male,18-24,919
Asian,2020-09-01,A no further action disposal,Male,25-34,511
Asian,2020-09-01,A no further action disposal,Male,over 34,260
Asian,2020-09-01,Arrest,Female,10-17,1
Asian,2020-09-01,Arrest,Female,18-24,1
Asian,2020-09-01,Arrest,Female,25-34,1
Asian,2020-09-01,Arrest,Male,10-17,40
Asian,2020-09-01,Arrest,Male,18-24,137
Asian,2020-09-01,Arrest,Male,25-34,85
Asian,2020-09-01,Arrest,Male,over 34,74
Asian,2020-09-01,Caution (simple or conditional),Male,18-24,1
Asian,2020-09-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-09-01,Community resolution,Female,18-24,10
Asian,2020-09-01,Community resolution,Female,25-34,10
Asian,2020-09-01,Community resolution,Female,over 34,1
Asian,2020-09-01,Community resolution,Male,10-17,5
Asian,2020-09-01,Community resolution,Male,18-24,125
Asian,2020-09-01,Community resolution,Male,25-34,76
Asian,2020-09-01,Community resolution,Male,over 34,25
Asian,2020-09-01,Community resolution,Other,18-24,1
Asian,2020-09-01,Penalty Notice for Disorder,Female,18-24,2
Asian,2020-09-01,Penalty Notice for Disorder,Male,18-24,51
Asian,2020-09-01,Penalty Notice for Disorder,Male,25-34,47
Asian,2020-09-01,Penalty Notice for Disorder,Male,over 34,16
Asian,2020-09-01,Penalty Notice for Disorder,Other,18-24,1
Asian,2020-09-01,Summons / charged by post,Female,18-24,1
Asian,2020-09-01,Summons / charged by post,Male,10-17,5
Asian,2020-09-01,Summons / charged by post,Male,18-24,20
Asian,2020-09-01,Summons / charged by post,Male,25-34,9
Asian,2020-09-01,Summons / charged by post,Male,over 34,3
Asian,2020-10-01,A no further action disposal,Female,10-17,11
Asian,2020-10-01,A no further action disposal,Female,18-24,48
Asian,2020-10-01,A no further action disposal,Female,25-34,18
Asian,2020-10-01,A no further action disposal,Female,over 34,12
Asian,2020-10-01,A no further action disposal,Male,10-17,381
Asian,2020-10-01,A no further action disposal,Male,18-24,1193
Asian,2020-10-01,A no further action disposal,Male,25-34,678
Asian,2020-10-01,A no further action disposal,Male,over 34,348
Asian,2020-10-01,A no further action disposal,Male,under 10,1
Asian,2020-10-01,A no further action disposal,Other,25-34,1
Asian,2020-10-01,A no further action disposal,Other,over 34,1
Asian,2020-10-01,Arrest,Female,18-24,3
Asian,2020-10-01,Arrest,Female,25-34,4
Asian,2020-10-01,Arrest,Female,over 34,6
Asian,2020-10-01,Arrest,Male,10-17,48
Asian,2020-10-01,Arrest,Male,18-24,114
Asian,2020-10-01,Arrest,Male,25-34,109
Asian,2020-10-01,Arrest,Male,over 34,81
Asian,2020-10-01,Caution (simple or conditional),Female,10-17,1
Asian,2020-10-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-10-01,Community resolution,Female,18-24,13
Asian,2020-10-01,Community resolution,Female,25-34,10
Asian,2020-10-01,Community resolution,Female,over 34,1
Asian,2020-10-01,Community resolution,Male,10-17,4
Asian,2020-10-01,Community resolution,Male,18-24,170
Asian,2020-10-01,Community resolution,Male,25-34,111
Asian,2020-10-01,Community resolution,Male,over 34,25
Asian,2020-10-01,Penalty Notice for Disorder,Female,18-24,2
Asian,2020-10-01,Penalty Notice for Disorder,Female,25-34,2
Asian,2020-10-01,Penalty Notice for Disorder,Male,10-17,2
Asian,2020-10-01,Penalty Notice for Disorder,Male,18-24,93
Asian,2020-10-01,Penalty Notice for Disorder,Male,25-34,40
Asian,2020-10-01,Penalty Notice for Disorder,Male,over 34,9
Asian,2020-10-01,Summons / charged by post,Female,18-24,1
Asian,2020-10-01,Summons / charged by post,Female,25-34,1
Asian,2020-10-01,Summons / charged by post,Male,10-17,3
Asian,2020-10-01,Summons / charged by post,Male,18-24,21
Asian,2020-10-01,Summons / charged by post,Male,25-34,14
Asian,2020-10-01,Summons / charged by post,Male,over 34,4
Asian,2020-11-01,A no further action disposal,Female,10-17,10
Asian,2020-11-01,A no further action disposal,Female,18-24,57
Asian,2020-11-01,A no further action disposal,Female,25-34,33
Asian,2020-11-01,A no further action disposal,Female,over 34,18
Asian,2020-11-01,A no further action disposal,Male,10-17,354
Asian,2020-11-01,A no further action disposal,Male,18-24,1244
Asian,2020-11-01,A no further action disposal,Male,25-34,703
Asian,2020-11-01,A no further action disposal,Male,over 34,393
Asian,2020-11-01,A no further action disposal,Male,under 10,2
Asian,2020-11-01,Arrest,Female,10-17,2
Asian,2020-11-01,Arrest,Female,18-24,5
Asian,2020-11-01,Arrest,Female,25-34,6
Asian,2020-11-01,Arrest,Female,over 34,3
Asian,2020-11-01,Arrest,Male,10-17,48
Asian,2020-11-01,Arrest,Male,18-24,139
Asian,2020-11-01,Arrest,Male,25-34,113
Asian,2020-11-01,Arrest,Male,over 34,63
Asian,2020-11-01,Caution (simple or conditional),Male,18-24,2
Asian,2020-11-01,Caution (simple or conditional),Male,over 34,1
Asian,2020-11-01,Community resolution,Female,18-24,20
Asian,2020-11-01,Community resolution,Female,25-34,12
Asian,2020-11-01,Community resolution,Female,over 34,1
Asian,2020-11-01,Community resolution,Male,10-17,5
Asian,2020-11-01,Community resolution,Male,18-24,173
Asian,2020-11-01,Community resolution,Male,25-34,113
Asian,2020-11-01,Community resolution,Male,over 34,36
Asian,2020-11-01,Penalty Notice for Disorder,Female,18-24,4
Asian,2020-11-01,Penalty Notice for Disorder,Female,25-34,1
Asian,2020-11-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-11-01,Penalty Notice for Disorder,Male,18-24,95
Asian,2020-11-01,Penalty Notice for Disorder,Male,25-34,58
Asian,2020-11-01,Penalty Notice for Disorder,Male,over 34,19
Asian,2020-11-01,Penalty Notice for Disorder,Male,under 10,1
Asian,2020-11-01,Penalty Notice for Disorder,Other,18-24,1
Asian,2020-11-01,Summons / charged by post,Female,10-17,1
Asian,2020-11-01,Summons / charged by post,Male,10-17,6
Asian,2020-11-01,Summons / charged by post,Male,18-24,28
Asian,2020-11-01,Summons / charged by post,Male,25-34,34
Asian,2020-11-01,Summons / charged by post,Male,over 34,7
Asian,2020-12-01,A no further action disposal,Female,10-17,9
Asian,2020-12-01,A no further action disposal,Female,18-24,50
Asian,2020-12-01,A no further action disposal,Female,25-34,19
Asian,2020-12-01,A no further action disposal,Female,over 34,11
Asian,2020-12-01,A no further action disposal,Male,10-17,288
Asian,2020-12-01,A no further action disposal,Male,18-24,1017
Asian,2020-12-01,A no further action disposal,Male,25-34,536
Asian,2020-12-01,A no further action disposal,Male,over 34,307
Asian,2020-12-01,A no further action disposal,Male,under 10,1
Asian,2020-12-01,Arrest,Female,10-17,1
Asian,2020-12-01,Arrest,Female,18-24,4
Asian,2020-12-01,Arrest,Female,25-34,3
Asian,2020-12-01,Arrest,Female,over 34,1
Asian,2020-12-01,Arrest,Male,10-17,31
Asian,2020-12-01,Arrest,Male,18-24,96
Asian,2020-12-01,Arrest,Male,25-34,102
Asian,2020-12-01,Arrest,Male,over 34,79
Asian,2020-12-01,Community resolution,Female,10-17,3
Asian,2020-12-01,Community resolution,Female,18-24,8
Asian,2020-12-01,Community resolution,Female,25-34,7
Asian,2020-12-01,Community resolution,Male,10-17,5
Asian,2020-12-01,Community resolution,Male,18-24,163
Asian,2020-12-01,Community resolution,Male,25-34,98
Asian,2020-12-01,Community resolution,Male,over 34,30
Asian,2020-12-01,Penalty Notice for Disorder,Female,18-24,2
Asian,2020-12-01,Penalty Notice for Disorder,Male,10-17,3
Asian,2020-12-01,Penalty Notice for Disorder,Male,18-24,88
Asian,2020-12-01,Penalty Notice for Disorder,Male,25-34,55
Asian,2020-12-01,Penalty Notice for Disorder,Male,over 34,10
Asian,2020-12-01,Summons / charged by post,Female,over 34,2
Asian,2020-12-01,Summons / charged by post,Male,10-17,9
Asian,2020-12-01,Summons / charged by post,Male,18-24,16
Asian,2020-12-01,Summons / charged by post,Male,25-34,20
Asian,2020-12-01,Summons / charged by post,Male,over 34,9
Black,2020-01-01,A no further action disposal,Female,10-17,72
Black,2020-01-01,A no further action disposal,Female,18-24,115
Black,2020-01-01,A no further action disposal,Female,25-34,64
Black,2020-01-01,A no further action disposal,Female,over 34,70
Black,2020-01-01,A no further action disposal,Male,10-17,1727
Black,2020-01-01,A no further action disposal,Male,18-24,2575
Black,2020-01-01,A no further action disposal,Male,25-34,1183
Black,2020-01-01,A no further action disposal,Male,over 34,790
Black,2020-01-01,A no further action disposal,Male,under 10,2
Black,2020-01-01,A no further action disposal,Other,18-24,1
Black,2020-01-01,Arrest,Female,10-17,8
Black,2020-01-01,Arrest,Female,18-24,11
Black,2020-01-01,Arrest,Female,25-34,9
Black,2020-01-01,Arrest,Female,over 34,20
Black,2020-01-01,Arrest,Male,10-17,318
Black,2020-01-01,Arrest,Male,18-24,387
Black,2020-01-01,Arrest,Male,25-34,288
Black,2020-01-01,Arrest,Male,over 34,205
Black,2020-01-01,Arrest,Other,10-17,1
Black,2020-01-01,Caution (simple or conditional),Female,10-17,1
Black,2020-01-01,Caution (simple or conditional),Male,10-17,2
Black,2020-01-01,Caution (simple or conditional),Male,18-24,1
Black,2020-01-01,Community resolution,Female,10-17,7
Black,2020-01-01,Community resolution,Female,18-24,14
Black,2020-01-01,Community resolution,Female,25-34,12
Black,2020-01-01,Community resolution,Female,over 34,4
Black,2020-01-01,Community resolution,Male,10-17,26
Black,2020-01-01,Community resolution,Male,18-24,284
Black,2020-01-01,Community resolution,Male,25-34,168
Black,2020-01-01,Community resolution,Male,over 34,90
Black,2020-01-01,Penalty Notice for Disorder,Female,18-24,5
Black,2020-01-01,Penalty Notice for Disorder,Male,10-17,6
Black,2020-01-01,Penalty Notice for Disorder,Male,18-24,88
Black,2020-01-01,Penalty Notice for Disorder,Male,25-34,42
Black,2020-01-01,Penalty Notice for Disorder,Male,over 34,21
Black,2020-01-01,Penalty Notice for Disorder,Other,over 34,1
Black,2020-01-01,Summons / charged by post,Female,10-17,1
Black,2020-01-01,Summons / charged by post,Female,25-34,1
Black,2020-01-01,Summons / charged by post,Female,over 34,1
Black,2020-01-01,Summons / charged by post,Male,10-17,23
Black,2020-01-01,Summons / charged by post,Male,18-24,43
Black,2020-01-01,Summons / charged by post,Male,25-34,35
Black,2020-01-01,Summons / charged by post,Male,over 34,11
Black,2020-02-01,A no further action disposal,Female,10-17,53
Black,2020-02-01,A no further action disposal,Female,18-24,93
Black,2020-02-01,A no further action disposal,Female,25-34,54
Black,2020-02-01,A no further action disposal,Female,over 34,52
Black,2020-02-01,A no further action disposal,Male,10-17,1464
Black,2020-02-01,A no further action disposal,Male,18-24,2020
Black,2020-02-01,A no further action disposal,Male,25-34,965
